partNumber,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts
22UF_1206_10V,22uF 25V 10% 1210 X7R,capacitor,22UF,1210,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
SBD_40V_200MA,SCHOTTKY 30V 200mA SOD323,diode,,SOD-523/0603,,250,,SBD_40V_200MA,SOD-523/0603,,
10M_0603,10M 1% 1/10W 0603,resistor,10M,0603,,250,,10M_0603,RESC1608X60,,
10M_0805_1%,10m^ 1% 1W 1206 Wide,resistor,10M,1206,,250,,10M_0805_1%,RESC2012X65,,
"74HCT4094D,112","IC, 74HCT245, DIP",ic,,16-SOIC,,100,,"74HCT4094D,112",16-SOIC,,
FOD817ASD,IC Optocoupler FOD817DS 300%,ic,,IC_4-SMD,,250,,FOD817ASD,IC_4-SMD,,
PIC24FJ64GA306,PIC24FJ64GA006-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,
22PF_100V_AXIAL,22pF 50V 5% 0805 NP0,capacitor,22PF,0805,,100,,22PF_100V_AXIAL,C410,,
22UF_1206_10V,CAP Ceram 22uF 25V 1206,capacitor,22UF,1206,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,
10M_0805_1%,10M 1/10W 0805 5%,resistor,10M,0805,,100,,10M_0805_1%,RESC2012X65,,
10UF_1206_10%_25V,TANT 10UF 20V 10%  2413,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,
10UF_0805,10uF 16V X7R 0805,capacitor,10UF,0805,,250,,10UF_0805,CAPC2012X110,,
L,MUR120RLG,diode,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,
MMBT2907ALT1,MMBT2907ALT1 Lead Free,transistor,,SOT23,,100,,MMBT2907ALT1,SOT23,,
49.9^_0805,RES 49.9^ 1/8W 1% 0805,resistor,49.9^,0805,,500,,49.9^_0805,RESC2012X65,,
ATMEGA328-AUR,ATMEGA328 8-BIT 32KB FLASH 32P,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,
47K_0603,47K 5% 0.25W CARBON FILM,resistor,47K,RESC1608X60,,100,,47K_0603,RESC1608X60,,
LED_RED_0805,Red 2V 5mA 26.05mcd 0603,led,RED,0603,,100,,LED_RED_0805,LEDC2012X110N_B,,
SBD_40V_200MA,Schottky 40V 200mA 0603,diode,,0603,,250,,SBD_40V_200MA,SOD-523/0603,,
ATMEGA328-AUR,ATMEGA16-16AU 44PIN TQFP LF,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,
GP_1000V_1A_SOD-123F,Zener Diode 36V 1/2W SOD123,diode,,SOD-123F,,100,,GP_1000V_1A_SOD-123F,SOD-123F,,
330^_0805,"RES 330^, 5%, 5W, Wirewound",resistor,330^,RESC2012X65,,100,,330^_0805,RESC2012X65,,
43^_0805,RES 43R 1% 1/8W 0805,resistor,43^,0805,,100,,43^_0805,RESC2012X65,,
1K_0805_1%_0.25W,"1K,.1%,1/8W,0805",resistor,1K,0805,,250,,1K_0805_1%_0.25W,RESC2012X65,,
PIC16F1513-I-SO,IC PIC16F873-04I/SP,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,
MAX6970AAE+,IC MAX6971ANG+,ic,,21-0056C_16_MXM-M,,100,,MAX6970AAE+,21-0056C_16_MXM-M,,
