partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
PIC16F1513-I-SO,IC0125,IC PIC16C71-04I/P,ic,,MICROCHIP_PIC16F1513-I-SO_2,,100,,PIC16F1513-I-SO,MICROCHIP_PIC16F1513-I-SO_2,,,40,3,medium,2
100K_0603,R0408,100K 1/2W Linear SPST,resistor,100K,RESC1608X60,,100,,100K_0603,RESC1608X60,,,40,4,low,65
100K_AXIAL,R0411,100K 1% 2W Axial,resistor,100K,AXIAL,,100,,100K_AXIAL,SFR16S,,,40,4,high,7
1K_AXIAL,R0412,1K 2% 2W Axial,resistor,1K,AXIAL,,100,,1K_AXIAL,SFR16S,,,40,4,high,79
15K_0805_0.1%,R0413,15K 5% 2W Axial,resistor,15K,AXIAL,,100,,15K_0805_0.1%,RESC2012X65,,,40,4,low,2
10K_AXIAL,R0414,10K 10% 7W Axial,resistor,10K,AXIAL,,100,,10K_AXIAL,SFR16S,,,40,6,high,65
15^_0603,RSM0195,15^ 5% 1/4W 1206,resistor,15^,1206,,100,,15^_0603,RESC1608X60,,,40,1,low,1
7.15K_0805_0.1%,RSM0387,7.15K 1% 1/10W 0603,resistor,7.15K,0603,,100,,7.15K_0805_0.1%,RESC2012X65,,,40,1,low,1
26.1K_0603,RSM0395,26.1K 1% 1/16W 0402,resistor,26.1K,0402,,100,,26.1K_0603,RESC1608X60,,,40,1,low,2
120^_0603,RSM0285,120^ 1% 1/10W 0603,resistor,120^,0603,,100,,120^_0603,RESC1608X60,,,35,3,high,1
0.01UF_1210_500V,CSM0071,CAP CER 1uF 50V 1210 X7R,capacitor,1UF,1210,,100,,0.01UF_1210_500V,CAPC3225X135,,,26,6,medium,4
4.7UF_0805,CSM0075,CAP TANT 4.7uF 10V 10% CASE A,capacitor,4.7UF,CAPC2012X110,,100,,4.7UF_0805,CAPC2012X110,,,26,6,low,36
L,ICSM0086,LM809M3-4.63/NOPB lf pn,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,26,6,medium,2
SN74HC175DR,ICSM0087,ICSM SN74HC14D HEX INVERTER,ic,,SOIC127P600X175-16N,,100,,SN74HC175DR,SOIC127P600X175-16N,,,26,6,medium,1
33^_5W_FUSIBLE,RSM0053,RES 33R 2W 1% 4527,resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,,26,6,low,3
120^_AXIAL,RSM0058,RES 120R 1W 5% 2512,resistor,120^,2512,,100,,120^_AXIAL,SFR16S,,,26,6,low,39
1.2K_0603,RSM0059,RES 1.2k 1W 5% 2512,resistor,1.2K,2512,,100,,1.2K_0603,RESC1608X60,,,26,6,low,52
SBD_20V_500MA,TSM0005,TSM PNP 60V 500mA SOT23,transistor,,SODFL3718X115,,100,,SBD_20V_500MA,SODFL3718X115,,,26,6,medium,6
ATMEGA328-AUR,ICSM0090,ATMEL ATMEGA325-16AU MicroCtrl,ic,,FLASH_32-TQFP,,100,,ATMEGA328-AUR,FLASH_32-TQFP,,,25,1,medium,2
150^_0603,R0180,RES 150^ 1% 0.25W **OBS*,resistor,150^,RESC1608X60,,100,,150^_0603,RESC1608X60,,,25,1,low,111
100^_1206_1%_0.5W,RSM0383,100^ 1% 1/4W 1206,resistor,100^,1206,,100,,100^_1206_1%_0.5W,RESC3216X70,,,25,1,high,119
10UF_1206_10%_25V,CSM0222,10uF 50V X7R 1206,capacitor,10UF,1206,,100,,10UF_1206_10%_25V,CAPC3216X135,,,20,2,high,10
0.022UF_0603,CSM0223,.22uF 50V 10% X7R 0603,capacitor,22UF,0603,,100,,0.022UF_0603,CAPC1608X85,,,20,1,medium,2
LED_RED_0805,L0092,Red LED 1.7Vf 20mA 60 deg,led,RED,LEDC2012X110N_B,,100,,LED_RED_0805,LEDC2012X110N_B,,,20,1,medium,62
200^_0603,RSM0196,200^ 5% 1/4W 1206,resistor,200^,1206,,100,,200^_0603,RESC1608X60,,,20,1,low,4
2.2K_0805,RSM0370,2.2K 1% 1/10W 0603,resistor,2.2K,0603,,100,,2.2K_0805,RESC2012X65,,,20,1,low,3
10UF_1206_10%_25V,CSM0111,CAP AL ELEC 10uF 50V 6.3mm,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,,15,1,low,10
LM339AN,ICSM0157,IC quad compar LM339DR,ic,,DIL14-LARDO,,100,,LM339AN,DIL14-LARDO,,,15,1,medium,8
1.34K_0805,RSM0149,"34K,.1%,1/8W,0805",resistor,34K,0805,,100,,1.34K_0805,RESC2012X65,,,15,1,medium,1
2.2UF_0603,CSM0225,2.2uF 100V 10% X7R 1206,capacitor,2.2UF,1206,,100,,2.2UF_0603,CAPC1608X85,,,10,1,low,34
100K_0603,RSM0186,100K 5% 1/4W 1206,resistor,100K,1206,,100,,100K_0603,RESC1608X60,,,10,1,low,65
47PF_0603,CSM0141,47pF 100V C0G 5% 0603,capacitor,47PF,0603,,100,,47PF_0603,CAPC1608X85,,,5,1,high,7
L,ICSM0158,IC Shunt Regulator LM431CIM,ic,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,5,1,medium,2
49.9^_0805,RSM0311,49.9^ 1% 1/10W 0603,resistor,49.9^,0603,,100,,49.9^_0805,RESC2012X65,,,5,1,low,64
