partNumber,dbaCode,description,category,value,package,qtyOnHand,reelQty,feederSlot,eagleDevice,eaglePackage,unitCost,altParts,issueQty2yr,issueTxnCount,matchConfidence,designUsage
33^_5W_FUSIBLE,R0334A,33^ 5W 5% Fusible Safety,resistor,33^,AXIAL_0.8,,100,,33^_5W_FUSIBLE,AXIAL_0.8,,,2000,15,low,3
1UF_0805_20%,CSM0105,CAP Ceramic 1uF 50V 0805,capacitor,1UF,0805,,100,,1UF_0805_20%,CAPC2012X110,,,1995,12,high,2
10UF_1206_10%_25V,C0149,10 uF 160V 20% RADIAL ALUM,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,,1950,14,low,10
22UF_1206_10V,CSM0178,22uF 25V 10% 1210 X7R,capacitor,22UF,1210,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,1920,15,low,38
SBD_40V_200MA,DSM0056,SCHOTTKY 30V 200mA SOD323,diode,,SOD-523/0603,,250,,SBD_40V_200MA,SOD-523/0603,,,1920,6,medium,6
10M_0603,RSM0202,10M 1% 1/10W 0603,resistor,10M,0603,,250,,10M_0603,RESC1608X60,,,1920,6,high,1
10M_0805_1%,RSM0363,10m^ 1% 1W 1206 Wide,resistor,10M,1206,,250,,10M_0805_1%,RESC2012X65,,,1920,6,low,3
"74HCT4094D,112",IC0255,"IC, 74HCT245, DIP",ic,,16-SOIC,,100,,"74HCT4094D,112",16-SOIC,,,1900,37,medium,1
FOD817ASD,ICSM0155,IC Optocoupler FOD817DS 300%,ic,,IC_4-SMD,,250,,FOD817ASD,IC_4-SMD,,,1870,8,medium,8
PIC24FJ64GA306,ICSM0091,PIC24FJ64GA006-I/PT,ic,,TQFP64-10X10,,100,,PIC24FJ64GA306,TQFP64-10X10,,,1866,28,medium,2
22PF_100V_AXIAL,CSM0048,22pF 50V 5% 0805 NP0,capacitor,22PF,0805,,100,,22PF_100V_AXIAL,C410,,,1848,26,low,4
22UF_1206_10V,CSM0150,CAP Ceram 22uF 25V 1206,capacitor,22UF,1206,,100,,22UF_1206_10V,WCAP-CSMH_1206_H1.6_R,,,1822,17,medium,38
10M_0805_1%,RSM0034,10M 1/10W 0805 5%,resistor,10M,0805,,100,,10M_0805_1%,RESC2012X65,,,1799,23,medium,3
10UF_1206_10%_25V,CSM0098,TANT 10UF 20V 10%  2413,capacitor,10UF,CAPC3216X135,,100,,10UF_1206_10%_25V,CAPC3216X135,,,1797,13,low,10
10UF_0805,CSM0214,10uF 16V X7R 0805,capacitor,10UF,0805,,250,,10UF_0805,CAPC2012X110,,,1785,7,high,9
L,D0051,MUR120RLG,diode,,INDC1608X95N-IPC,,100,,L,INDC1608X95N-IPC,,,1775,19,medium,2
